arrival_rate,service_rate,num_servers,traffic_intensity,avg_wait_time,avg_queue_length,throughput,utilization
3.6222,3.4308,1,1.0558,21.2321,77.3801,3.368,0.9999
3.7058,1.8886,1,1.9622,133.6643,481.7098,1.884,0.9999
3.2206,4.4943,1,0.7166,0.5348,1.7193,3.276,0.7166
3.6066,2.6255,2,0.6868,0.4837,1.7865,3.626,0.6868
0.5655,2.0978,5,0.0539,0.0,0.0,0.56,0.0539
0.9062,4.3069,2,0.1052,0.0033,0.0021,0.952,0.1052
1.9642,1.9825,3,0.3303,0.0224,0.0559,2.0,0.3303
2.1766,4.0916,2,0.266,0.0222,0.0498,2.168,0.266
1.415,2.3092,2,0.3064,0.0493,0.0903,1.462,0.3064
1.1727,1.0493,3,0.3725,0.0233,0.0145,1.102,0.3725
3.1241,1.951,2,0.8006,1.2673,3.9684,3.098,0.8006
2.0838,3.2894,2,0.3167,0.0363,0.0891,2.066,0.3167
2.8247,3.0591,4,0.2308,0.0014,0.0035,2.836,0.2308
1.6406,4.956,5,0.0662,0.0,0.0,1.66,0.0662
2.6944,1.3561,3,0.6623,0.4418,1.2517,2.632,0.6623
0.5041,4.0884,1,0.1233,0.0214,0.0,0.44,0.1233
0.7075,4.9781,2,0.0711,0.0003,0.0,0.656,0.0711
3.5051,2.5648,3,0.4555,0.0497,0.1618,3.508,0.4555
1.8005,4.4348,5,0.0812,0.0,0.0,1.8,0.0812
2.6348,1.9755,2,0.6669,0.4238,1.179,2.582,0.6669
2.8396,1.4216,5,0.3995,0.0156,0.0562,2.772,0.3995
3.6129,3.1302,4,0.2886,0.0045,0.0199,3.616,0.2886
1.8427,2.6612,2,0.3462,0.0582,0.1124,1.762,0.3462
0.6547,2.1074,5,0.0621,0.0,0.0,0.688,0.0621
1.8764,3.2744,4,0.1433,0.0,0.0,1.774,0.1433
3.4536,2.9746,2,0.5805,0.1736,0.576,3.382,0.5805
0.9064,1.9166,5,0.0946,0.0,0.0,0.804,0.0946
2.1119,2.797,4,0.1888,0.0011,0.001,2.086,0.1888
1.3259,2.6752,2,0.2478,0.0248,0.0245,1.386,0.2478
0.9608,4.5367,4,0.0529,0.0,0.0,1.002,0.0529
1.549,4.1111,3,0.1256,0.0004,0.0,1.488,0.1256
3.9863,3.5923,3,0.3699,0.0165,0.0677,4.018,0.3699
2.9702,3.7464,5,0.1586,0.0003,0.0027,3.014,0.1586
3.4069,1.1259,4,0.7565,0.3606,1.1709,3.46,0.7565
0.5061,2.347,1,0.2156,0.0914,0.0342,0.468,0.2156
0.5874,4.3919,1,0.1337,0.0469,0.0149,0.538,0.1337
0.781,4.0174,4,0.0486,0.0,0.0,0.798,0.0486
3.0071,3.4333,4,0.219,0.0019,0.0052,3.066,0.219
1.3825,3.1733,5,0.0871,0.0,0.0,1.388,0.0871
3.0048,2.1434,3,0.4673,0.0856,0.2977,2.936,0.4673
1.837,4.1491,5,0.0885,0.0,0.0,1.89,0.0885
3.5284,2.1125,4,0.4176,0.0145,0.0435,3.492,0.4176
1.5807,2.1658,5,0.146,0.0001,0.0,1.666,0.146
3.8652,3.1499,1,1.2271,45.0293,177.5327,3.014,0.9999
2.2802,4.2628,4,0.1337,0.0003,0.0,2.27,0.1337
1.318,3.1366,2,0.2101,0.0181,0.0271,1.396,0.2101
3.4553,4.9086,3,0.2346,0.0027,0.007,3.448,0.2346
1.4076,3.5715,5,0.0788,0.0,0.0,1.424,0.0788
2.0665,1.819,5,0.2272,0.0004,0.0,2.138,0.2272
1.3864,4.5721,5,0.0606,0.0,0.0,1.408,0.0606
2.7804,1.3599,4,0.5111,0.0696,0.2184,2.862,0.5111
3.8453,4.4419,5,0.1731,0.0008,0.0058,3.814,0.1731
3.5932,4.8931,1,0.7343,0.4403,1.4819,3.478,0.7343
2.204,1.8795,2,0.5863,0.2766,0.6178,2.13,0.5863
2.4195,1.3456,1,1.7981,112.4321,277.492,1.4,0.9999
2.7233,3.7009,1,0.7358,1.0918,3.2419,2.702,0.7358
2.3286,1.5484,3,0.5013,0.0767,0.1632,2.242,0.5013
3.4063,2.1275,4,0.4003,0.0187,0.056,3.356,0.4003
3.8781,2.4609,5,0.3152,0.0023,0.0092,3.896,0.3152
0.5533,1.1414,4,0.1212,0.0,0.0,0.582,0.1212
0.6815,3.4198,2,0.0996,0.0007,0.0,0.612,0.0996
0.9145,1.6197,4,0.1412,0.0,0.0,0.962,0.1412
3.6867,1.8113,1,2.0354,121.5154,429.1939,1.834,0.9999
2.9501,3.1103,4,0.2371,0.0013,0.0013,3.008,0.2371
1.0002,1.2801,4,0.1953,0.0025,0.0064,0.942,0.1953
2.9736,1.9767,3,0.5014,0.0722,0.2176,3.084,0.5014
2.175,4.7028,3,0.1542,0.0002,0.0,2.178,0.1542
1.9232,2.6813,5,0.1435,0.0,0.0,1.972,0.1435
0.7131,1.5986,5,0.0892,0.0,0.0,0.738,0.0892
2.8918,3.6888,4,0.196,0.0008,0.0021,2.874,0.196
3.917,1.0196,4,0.9604,2.2682,8.8325,3.902,0.9604
1.5186,3.8788,2,0.1958,0.0056,0.0079,1.528,0.1958
0.5694,2.2264,5,0.0511,0.0,0.0,0.552,0.0511
2.7127,2.047,5,0.265,0.0006,0.0022,2.77,0.265
2.0665,2.8167,3,0.2446,0.0065,0.0121,1.98,0.2446
1.4081,2.9685,1,0.4743,0.3125,0.4238,1.444,0.4743
1.7962,3.1343,2,0.2865,0.0209,0.0326,1.838,0.2865
3.89,4.8037,1,0.8098,1.5149,5.9264,3.912,0.8098
1.4652,2.6156,3,0.1867,0.0016,0.0014,1.422,0.1867
0.8643,1.7763,2,0.2433,0.0365,0.0275,0.874,0.2433
3.6107,1.1436,5,0.6315,0.0945,0.3125,3.526,0.6315
1.0544,4.9081,4,0.0537,0.0,0.0,1.016,0.0537
1.4777,4.5351,5,0.0652,0.0,0.0,1.498,0.0652
3.57,2.7245,1,1.3103,65.2915,219.6572,2.714,0.9999
3.1325,4.1948,5,0.1494,0.0,0.0,3.178,0.1494
2.5397,1.8489,5,0.2747,0.0007,0.0024,2.522,0.2747
3.8734,1.2151,3,1.0626,7.9926,30.9627,3.562,0.9999
3.9241,4.5327,1,0.8657,1.3451,5.4536,3.954,0.8657
3.2531,2.3291,3,0.4656,0.0501,0.1638,3.138,0.4656
3.8372,3.0986,2,0.6192,0.2188,0.8128,3.942,0.6192
3.1205,3.5292,1,0.8842,2.6378,8.2906,3.106,0.8842
3.1082,1.789,2,0.8687,1.4776,4.5575,2.99,0.8687
2.2007,3.3521,5,0.1313,0.0002,0.0009,2.162,0.1313
2.2889,2.5809,1,0.8869,2.6693,6.1173,2.282,0.8869
2.0586,3.4561,1,0.5956,0.5958,1.1518,2.04,0.5956
0.9816,4.369,1,0.2247,0.0745,0.0765,0.994,0.2247
1.2025,4.7327,2,0.127,0.0049,0.007,1.148,0.127
1.5125,4.9584,1,0.305,0.1061,0.1529,1.478,0.305
3.6132,2.2713,1,1.5908,83.201,296.7163,2.218,0.9999
2.8466,4.1033,3,0.2312,0.0038,0.0048,2.922,0.2312
1.7626,1.3962,1,1.2624,75.4431,134.9556,1.352,0.9999
2.9696,1.1163,2,1.3301,57.8715,178.9542,2.268,0.9999
2.1557,3.9766,4,0.1355,0.0,0.0,2.134,0.1355
3.8866,1.1567,3,1.12,27.339,103.6764,3.428,0.9999
1.1162,2.8669,1,0.3893,0.2269,0.2226,1.078,0.3893
3.2294,2.7256,5,0.237,0.001,0.0044,3.192,0.237
1.2337,2.4331,4,0.1268,0.0,0.0,1.196,0.1268
1.5426,2.8226,5,0.1093,0.0,0.0,1.546,0.1093
2.616,3.3898,3,0.2572,0.0065,0.0197,2.532,0.2572
0.7781,4.2213,3,0.0614,0.0,0.0,0.8,0.0614
0.9818,4.5584,4,0.0538,0.0,0.0,0.96,0.0538
0.9187,2.4721,5,0.0743,0.0,0.0,0.95,0.0743
2.8362,4.5385,1,0.6249,0.3348,0.9057,2.816,0.6249
1.1271,2.5615,1,0.44,0.3095,0.3116,1.104,0.44
1.5316,3.012,1,0.5085,0.4695,0.7998,1.636,0.5085
2.5361,2.2675,3,0.3728,0.029,0.0726,2.618,0.3728
1.4682,4.6725,1,0.3142,0.0947,0.1199,1.468,0.3142
3.3919,4.5386,4,0.1868,0.0005,0.0006,3.522,0.1868
3.5921,2.9505,5,0.2435,0.0011,0.0055,3.664,0.2435
0.6101,1.5931,3,0.1277,0.0017,0.0,0.612,0.1277
3.8398,2.7912,4,0.3439,0.0085,0.0373,3.86,0.3439
1.1476,4.3208,2,0.1328,0.0035,0.0,1.142,0.1328
2.1647,2.6355,3,0.2738,0.0199,0.0626,2.3,0.2738
2.5127,1.2261,2,1.0247,9.2948,21.7998,2.372,0.9999
2.5453,2.246,2,0.5666,0.1977,0.5162,2.526,0.5666
3.2963,4.2942,1,0.7676,0.5394,1.7272,3.358,0.7676
2.3025,4.1458,3,0.1851,0.0015,0.0052,2.32,0.1851
0.8418,2.7377,5,0.0615,0.0,0.0,0.862,0.0615
2.1119,1.8143,5,0.2328,0.0003,0.0,2.044,0.2328
3.5413,3.1124,4,0.2845,0.0019,0.0046,3.484,0.2845
2.5338,1.9347,2,0.6548,0.2809,0.6917,2.504,0.6548
2.2464,3.8892,4,0.1444,0.0,0.0,2.226,0.1444
